===== 08_APLICATIVOS_INSTALADOS =====

DisplayName                                                             DisplayVersion     Publisher
Google Chrome                                                           152.0.7977.76      Google...
Grok                                                                    1.0                Google...
Grok                                                                    1.0                Google...
Inno Setup 7.0.2                                                        7.0.2              jrsoft...
Inno Setup versão 6.7.3                                                 6.7.3              jrsoft...
Kits Configuration Installer                                            10.1.26100.8249    Microsoft
K-Meleon 75.0 (x86 en-US)                                               75.0               kmeleo...
Lenovo Now                                                              4.8.0.54           Lenovo   
Lenovo Service Bridge                                                   5.0.2.21           Lenovo   
Lenovo Utility                                                          3.0.0.22           Lenovo   
Lenovo Vantage Service                                                  5.1.2608.14        Lenovo...
libnvptxcompiler Development                                            13.2               NVIDIA...
LM Studio 0.4.23+1                                                      0.4.23+1           LM Studio
Maxon Cinema 4D 2026                                                    2026.1.0           Maxon    
Meta AI                                                                 1.0                Google...
Meu Sistema Comercial 1.0                                               1.0                         
Microsoft .NET 10.0 Templates 10.0.400 x64                              40.11.17119        Micros...
Microsoft .NET 8.0 Templates 8.0.424 (x64)                              32.15.49180        Micros...
Microsoft .NET AppHost Pack - 10.0.11 (x64)                             80.44.56884        Micros...
Microsoft .NET AppHost Pack - 8.0.30 (x64)                              64.120.56788       Micros...
Microsoft .NET AppHost Pack - 8.0.30 (x64_arm64)                        64.120.56788       Micros...
Microsoft .NET AppHost Pack - 8.0.30 (x64_x86)                          64.120.56788       Micros...
Microsoft .NET Host - 10.0.11 (x64)                                     80.44.56884        Micros...
Microsoft .NET Host - 8.0.30 (x64)                                      64.120.56788       Micros...
Microsoft .NET Host FX Resolver - 10.0.11 (x64)                         80.44.56884        Micros...
Microsoft .NET Host FX Resolver - 8.0.30 (x64)                          64.120.56788       Micros...
Microsoft .NET Runtime - 10.0.11 (x64)                                  80.44.56884        Micros...
Microsoft .NET Runtime - 8.0.23 (x64)                                   64.92.45415        Micros...
Microsoft .NET Runtime - 8.0.30 (x64)                                   64.120.56788       Micros...
Microsoft .NET SDK 10.0.400 (x64)                                       10.4.26.38015      Micros...
Microsoft .NET SDK 8.0.424 (x64)                                        8.4.2426.37308     Micros...
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                    24.0.28113         Micros...
Microsoft .NET Targeting Pack - 10.0.11 (x64)                           80.44.56884        Micros...
Microsoft .NET Targeting Pack - 8.0.30 (x64)                            64.120.56788       Micros...
Microsoft .NET Toolset 10.0.400 (x64)                                   40.11.17119        Micros...
Microsoft .NET Toolset 8.0.424 (x64)                                    32.15.16412        Micros...
Microsoft ASP.NET Core 8.0.30 Shared Framework (x64)                    8.0.30.26373       Micros...
Microsoft ASP.NET Core 8.0.30 Targeting Pack (x64)                      8.0.30.26373       Micros...
Microsoft ASP.NET Core Runtime - 10.0.11 (x64)                          80.44.56884        Micros...
Microsoft ASP.NET Core Targeting Pack - 10.0.11 (x64)                   80.44.56884        Micros...
Microsoft Build of OpenJDK  17.0.20.1+1 (x64)                           17.0.20.101        Microsoft
Microsoft Edge                                                          152.0.4191.62      Micros...
Microsoft Edge WebView2 Runtime                                         152.0.4191.62      Micros...
Microsoft OneDrive                                                      26.150.0804.0011   Micros...
Microsoft Visual Basic for Applications 7.1 (x64)                       7.1.00.00          Micros...
Microsoft Visual Basic for Applications 7.1 (x64) English               7.1.0.0            Micros...
Microsoft Visual Basic for Applications 7.1 (x64) Portuguese (Brazil)   7.1.0.0            Micros...
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148          9.0.30729.4148     Micros...
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161          9.0.30729.6161     Micros...
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247          14.51.36247        Micros...
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.51.36247               14.51.36247        Micros...
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247             14.51.36247        Micros...
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247          14.51.36247        Micros...
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.51.36247               14.51.36247        Micros...
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247             14.51.36247        Micros...
Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247            14.51.36247.0      Micros...
Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247            14.51.36247.0      Micros...
Microsoft Visual Studio Code (User)                                     1.136.1            Micros...
Microsoft Visual Studio Installer                                       4.8.60.55523       Micros...
Microsoft Visual Studio Setup Configuration                             4.8.41.48107       Micros...
Microsoft Visual Studio Setup WMI Provider                              4.8.41.48107       Micros...
Microsoft Visual Studio Tools for Applications 2022                     17.0.33529         Micros...
Microsoft Visual Studio Tools for Applications 2022 x64 Hosting Support 17.0.33529         Micros...
Microsoft Visual Studio Tools for Applications 2022 x86 Hosting Support 17.0.33529         Micros...
Microsoft Windows Application Compatibility Fix Database                                            
Microsoft Windows Desktop Runtime - 10.0.11 (x64)                       80.44.56884        Micros...
Microsoft Windows Desktop Runtime - 8.0.23 (x64)                        64.92.45458        Micros...
Microsoft Windows Desktop Runtime - 8.0.30 (x64)                        64.120.56881       Micros...
Microsoft Windows Desktop Runtime 10.0.11 (x64)                         10.0.11.50000      Micros...
Microsoft Windows Desktop Targeting Pack - 10.0.11 (x64)                80.44.56884        Micros...
Microsoft Windows Desktop Targeting Pack - 8.0.30 (x64)                 64.120.56881       Micros...
Microsoft.NET.Sdk.Android.Manifest-10.0.100 (x64)                       36.1.2             Micros...
Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)                        34.0.43            Micros...
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)                         64.0.5426          Micros...
Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)                           26.0.11017         Micros...
Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)                            17.0.8478          Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)                   26.0.11017         Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)                    17.0.8478          Micros...
Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)                         26.0.11017         Micros...
Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)                          14.0.8478          Micros...
Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)                          10.0.0             Micros...
Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)                           8.0.3              Micros...
Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)                          26.0.11017         Micros...
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)                           17.0.8478          Micros...
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)                64.120.56610       Micros...
Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)       81.188.56884       Micros...
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                   64.120.56610       Micros...
Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)          81.188.56884       Micros...
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                   64.120.56610       Micros...
Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)          81.188.56884       Micros...
Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)          81.188.56884       Micros...
Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)          81.188.56884       Micros...
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)            64.120.56788       Micros...
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)   81.188.56884       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)               64.120.56788       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)      81.188.56884       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)               64.120.56788       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)      81.188.56884       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)      81.188.56884       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)      81.188.56884       Micros...
Mister Horse Product Manager                                            3.7.2              Mister...
Mister Horse Product Manager                                            2.0.4                       
MSI Development Tools                                                   10.1.26100.8249    Micros...
Node.js                                                                 26.7.0             Node.j...
NPP Development                                                         13.2               NVIDIA...
NPP Runtime                                                             13.2               NVIDIA...
nvcc                                                                    13.2               NVIDIA...
NVFATBIN Runtime                                                        13.2               NVIDIA...
NVIDIA AIUser Container                                                 1.51               NVIDIA...
NVIDIA App 11.0.9.239                                                   11.0.9.239         NVIDIA...
NVIDIA App driver settings                                              1.0                NVIDIA...
NVIDIA Backend                                                          11.0.9.239         NVIDIA...
NVIDIA Container                                                        1.51               NVIDIA...
NVIDIA Controlador gráfico 616.56                                       616.56             NVIDIA...
NVIDIA CUDA Development 13.2                                            13.2               NVIDIA...
NVIDIA CUDA Documentation 13.2                                          13.2               NVIDIA...
NVIDIA CUDA Runtime 13.2                                                13.2               NVIDIA...
NVIDIA CUDA Toolkit 13.2                                                13.2               NVIDIA...
NVIDIA CUDA Visual Studio Integration 13.2                              13.2               NVIDIA...
NVIDIA FrameView SDK 1.9.12728.38614306                                 1.9.12728.38614306 NVIDIA...
NVIDIA Install Application                                              2.1002.463.0       NVIDIA...
NVIDIA LocalSystem Container                                            1.51               NVIDIA...
NVIDIA MessageBus 3 for NvApp                                           3.21               NVIDIA...
NVIDIA Nsight Compute 2026.1.1                                          26.1.1.0           NVIDIA...
NVIDIA Nsight Systems 2025.6.3                                          25.6.3.541         NVIDIA...
NVIDIA Nsight Visual Studio Edition 2026.1.0.25345                      26.1.0.25345       NVIDIA...
NVIDIA NvDLISR                                                          1.0                NVIDIA...
NVIDIA O controlador de HD Audio 1.4.6.3                                1.4.6.3            NVIDIA...
NVIDIA O software do sistema PhysX 9.26.0703                            9.26.0703          NVIDIA...
NVIDIA Platform Controllers and Framework                               615.34             NVIDIA...
NVIDIA Project G-Assist                                                 0.2.2.0            NVIDIA...
NVIDIA Session Container                                                1.51               NVIDIA...
NVIDIA ShadowPlay 11.0.9.500                                            11.0.9.500         NVIDIA...
NVIDIA Telemetry Client                                                 19.8.1.0           NVIDIA...
NVIDIA USBC Driver 1.52.831.832                                         1.52.831.832       NVIDIA...
NVIDIA User Container                                                   1.51               NVIDIA...
NVIDIA Virtual Audio 4.92.0.0                                           4.92.0.0           NVIDIA...
NVIDIA Watchdog Plugin for NvContainer                                  1.51               NVIDIA...
NVJITLINK Runtime                                                       13.2               NVIDIA...
NVJPEG Development                                                      13.2               NVIDIA...
NVJPEG Runtime                                                          13.2               NVIDIA...
NVML Development                                                        13.2               NVIDIA...
nvprune                                                                 13.2               NVIDIA...
NVRTC Development                                                       13.2               NVIDIA...
NVRTC Runtime                                                           13.2               NVIDIA...
NVTX Development                                                        13.2               NVIDIA...
NVVM Development                                                        13.2               NVIDIA...
Occupancy Calculator                                                    13.2               NVIDIA...
Ollama version 0.33.2                                                   0.33.2             Ollama   
OPENCL Runtime                                                          13.2               NVIDIA...
Opera GX Stable 134.0.5954.67                                           134.0.5954.67      Opera ...
Outbyte Camomile                                                        2.5.6.54374        Outbyt...
Pale Moon 34.3.2 (x64 en-US)                                            34.3.2             Moonch...
PawnIO                                                                  2.2.0.0            namazso  
Python 3.11.9 (64-bit)                                                  3.11.9150.0        Python...
Python 3.11.9 Add to Path (64-bit)                                      3.11.9150.0        Python...
Python 3.11.9 Core Interpreter (64-bit)                                 3.11.9150.0        Python...
Python 3.11.9 Development Libraries (64-bit)                            3.11.9150.0        Python...
Python 3.11.9 Documentation (64-bit)                                    3.11.9150.0        Python...
Python 3.11.9 Executables (64-bit)                                      3.11.9150.0        Python...
Python 3.11.9 pip Bootstrap (64-bit)                                    3.11.9150.0        Python...
Python 3.11.9 Standard Library (64-bit)                                 3.11.9150.0        Python...
Python 3.11.9 Tcl/Tk Support (64-bit)                                   3.11.9150.0        Python...
Python 3.11.9 Test Suite (64-bit)                                       3.11.9150.0        Python...
Python 3.11.9 Utility Scripts (64-bit)                                  3.11.9150.0        Python...
Python 3.13.7 (64-bit)                                                  3.13.7150.0        Python...
Python 3.13.7 Add to Path (64-bit)                                      3.13.7150.0        Python...
Python 3.13.7 Core Interpreter (64-bit)                                 3.13.7150.0        Python...
Python 3.13.7 Development Libraries (64-bit)                            3.13.7150.0        Python...
Python 3.13.7 Documentation (64-bit)                                    3.13.7150.0        Python...
Python 3.13.7 Executables (64-bit)                                      3.13.7150.0        Python...
Python 3.13.7 pip Bootstrap (64-bit)                                    3.13.7150.0        Python...
Python 3.13.7 Standard Library (64-bit)                                 3.13.7150.0        Python...
Python 3.13.7 Tcl/Tk Support (64-bit)                                   3.13.7150.0        Python...
Python 3.13.7 Test Suite (64-bit)                                       3.13.7150.0        Python...
Python 3.14.6 (64-bit)                                                  3.14.6150.0        Python...
Python 3.14.6 Add to Path (64-bit)                                      3.14.6150.0        Python...
Python 3.14.6 Core Interpreter (64-bit)                                 3.14.6150.0        Python...
Python 3.14.6 Development Libraries (64-bit)                            3.14.6150.0        Python...
Python 3.14.6 Documentation (64-bit)                                    3.14.6150.0        Python...
Python 3.14.6 Executables (64-bit)                                      3.14.6150.0        Python...
Python 3.14.6 pip Bootstrap (64-bit)                                    3.14.6150.0        Python...
Python 3.14.6 Standard Library (64-bit)                                 3.14.6150.0        Python...
Python 3.14.6 Tcl/Tk Support (64-bit)                                   3.14.6150.0        Python...
Python 3.14.6 Test Suite (64-bit)                                       3.14.6150.0        Python...
Python Launcher                                                         3.13.7150.0        Python...
Qwen 1.0.3                                                              1.0.3              qwen.ai  
SDK ARM64 Additions                                                     10.1.26100.8249    Micros...
SDK ARM64 Redistributables                                              10.1.26100.8249    Micros...
System Assistant                                                        0.1.4              NVIDIA...
TeraBox                                                                 1.47.0             Flexte...
Universal CRT Extension SDK                                             10.1.26100.8249    Micros...
Universal CRT Headers Libraries and Sources                             10.1.26100.8249    Micros...
Universal CRT Redistributable                                           10.1.26100.8249    Micros...
Universal CRT Redistributable                                           10.0.26624         Micros...
Universal CRT Tools x64                                                 10.1.26100.8249    Micros...
Universal CRT Tools x86                                                 10.1.26100.8249    Micros...
Universal General MIDI DLS Extension SDK                                10.1.26100.8249    Micros...
uTorrent Web                                                            1.6.0              BitTor...
UXP WebView Support                                                     1.6.1              Adobe ...
vcpp_crt.redist.clickonce                                               14.51.36247        Micros...
vs_FileTracker_Singleton                                                18.8.11829         Micros...
vs_githubprotocolhandlermsi                                             18.8.11829         Micros...
vs_vswebprotocolselectormsi                                             18.8.11829         Micros...
vs_vswebprotocolselectormsires                                          18.8.11829         Micros...
WinAppDeploy                                                            10.1.26100.8249    Micros...
Windows App Certification Kit Native Components                         10.1.26100.8249    Micros...
Windows App Certification Kit SupportedApiList x86                      10.1.26100.8249    Micros...
Windows App Certification Kit x64                                       10.1.26100.8249    Micros...
Windows App Certification Kit x64 (OnecoreUAP)                          10.1.26100.8249    Micros...
Windows Desktop Extension SDK                                           10.1.26100.8249    Micros...
Windows Desktop Extension SDK Contracts                                 10.1.26100.8249    Micros...
Windows IoT Extension SDK                                               10.1.26100.8249    Micros...
Windows IoT Extension SDK Contracts                                     10.1.26100.8249    Micros...
Windows Mobile Extension SDK                                            10.1.26100.8249    Micros...
Windows Mobile Extension SDK Contracts                                  10.1.26100.8249    Micros...
Windows SDK                                                             10.1.26100.8249    Micros...
Windows SDK AddOn                                                       10.1.0.0           Micros...
Windows SDK ARM64 Desktop Tools                                         10.1.26100.8249    Micros...
Windows SDK Desktop Headers arm64                                       10.1.26100.8249    Micros...
Windows SDK Desktop Headers x64                                         10.1.26100.8249    Micros...
Windows SDK Desktop Headers x86                                         10.1.26100.8249    Micros...
Windows SDK Desktop Libs arm64                                          10.1.26100.8249    Micros...
Windows SDK Desktop Libs x64                                            10.1.26100.8249    Micros...
Windows SDK Desktop Libs x86                                            10.1.26100.8249    Micros...
Windows SDK Desktop Tools arm64                                         10.1.26100.8249    Micros...
Windows SDK Desktop Tools x64                                           10.1.26100.8249    Micros...
Windows SDK Desktop Tools x86                                           10.1.26100.8249    Micros...
Windows SDK DirectX x64 Remote                                          10.1.26100.8249    Micros...
Windows SDK DirectX x86 Remote                                          10.1.26100.8249    Micros...
Windows SDK EULA                                                        10.1.26100.8249    Micros...
Windows SDK Facade Windows WinMD Versioned                              10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps                                      10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps Contracts                            10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps DirectX x86 Remote                   10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps Headers                              10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps Headers OnecoreUap                   10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps Libs                                 10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps Metadata                             10.1.26100.8249    Micros...
Windows SDK for Windows Store Apps Tools                                10.1.26100.8249    Micros...
Windows SDK for Windows Store Managed Apps Libs                         10.1.26100.8249    Micros...
Windows SDK Modern Non-Versioned Developer Tools                        10.1.26100.8249    Micros...
Windows SDK Modern Versioned Developer Tools                            10.1.26100.8249    Micros...
Windows SDK OnecoreUap Headers arm64                                    10.1.26100.8249    Micros...
Windows SDK OnecoreUap Headers x64                                      10.1.26100.8249    Micros...
Windows SDK OnecoreUap Headers x86                                      10.1.26100.8249    Micros...
Windows SDK Redistributables                                            10.1.26100.8249    Micros...
Windows SDK Signing Tools                                               10.1.26100.8249    Micros...
Windows Software Development Kit - Windows 10.0.26100.8249              10.1.26100.8249    Micros...
Windows Subsystem for Linux                                             2.6.3.0            Micros...
Windows Team Extension SDK                                              10.1.26100.8249    Micros...
Windows Team Extension SDK Contracts                                    10.1.26100.8249    Micros...
WinRAR 7.13 (64-bit)                                                    7.13.0             win.ra...
WinRT Intellisense Desktop - en-us                                      10.1.26100.8249    Micros...
WinRT Intellisense Desktop - Other Languages                            10.1.26100.8249    Micros...
WinRT Intellisense IoT - en-us                                          10.1.26100.8249    Micros...
WinRT Intellisense IoT - Other Languages                                10.1.26100.8249    Micros...
WinRT Intellisense Mobile - en-us                                       10.1.26100.8249    Micros...
WinRT Intellisense PPI - en-us                                          10.1.26100.8249    Micros...
WinRT Intellisense PPI - Other Languages                                10.1.26100.8249    Micros...
WinRT Intellisense UAP - en-us                                          10.1.26100.8249    Micros...
WinRT Intellisense UAP - Other Languages                                10.1.26100.8249    Micros...
Wondershare Helper Compact 2.6.0                                        2.6.0              Wonder...
Wondershare NativePush(Build 1.1.1.0)                                                      Wonder...


